,district,total_enrollment,total_test_takers,percent_meeting_both_benchmarks,school_year_expenditure,average_daily_attendance,daily_expenditure,enrollment_k_thru_12,num_students_eligible_for_frpm,percentage_eligible_for_frpm
167,Hesperia Unified,3866.0,981.0,37.410805300713555,252991214.01,20624.51,12266.532102338431,24132,16684,69.13641637659539
168,Chula Vista Elementary,487.0,286.0,22.377622377622377,284868628.54,22365.97,12736.69903608026,30135,16206,53.77799900447984
169,Fallbrook Union High,1078.0,227.0,56.82819383259912,29705169.06,2000.76,14846.942691777123,2154,1253,58.17084493964717
170,Ramona City Unified,922.0,231.0,66.66666666666667,58217694.74,5159.79,11282.958170778269,5472,2295,41.94078947368421
171,Oceanside Unified,3060.0,733.0,58.2537517053206,213083865.34,16593.23,12841.614642839279,19749,11293,57.182642159096666
172,Santa Ynez Valley Union High,453.0,153.0,72.54901960784314,11593194.09,876.6,13225.18148528405,926,259,27.96976241900648
173,Scott Valley Unified,100.0,38.0,57.89473684210526,8776308.74,633.16,13861.123160022744,668,407,60.928143712574844
174,Patterson Joint Unified,930.0,407.0,28.00982800982801,75714529.71,5728.4,13217.395731792472,6077,4619,76.0078986341945
175,Visalia Unified,4368.0,802.0,53.86533665835412,328174802.84,27668.73,11860.855299104802,29107,19742,67.82560896004397
176,Dinuba Unified,1086.0,209.0,38.27751196172249,76425914.54,6302.28,12126.708832359085,6659,5379,80.77789457876558
177,Hayward Unified,3236.0,1034.0,41.77949709864603,266964086.73,18755.2,14234.137024931752,22376,15620,69.80693600286021
178,San Lorenzo Unified,2083.0,721.0,54.230235783633844,129723029.06,9643.82,13451.415420445426,11256,7087,62.96197583511016
179,Dublin Unified,1467.0,705.0,86.80851063829788,122537246.11,11769.85,10411.113659902207,12090,1052,8.70140612076096
180,Pierce Joint Unified,216.0,59.0,33.898305084745765,15109109.81,1415.63,10673.064155181792,1479,1046,70.72346179851252
181,Liberty Union High,4127.0,1226.0,60.0326264274062,90972618.34,7762.41,11719.63582701764,8320,2345,28.185096153846157
182,Parlier Unified,481.0,117.0,19.65811965811966,43396409.98,3315.64,13088.396201035093,3471,3407,98.15615096513973
183,Corcoran Joint Unified,421.0,85.0,24.705882352941178,39711773.39,3118.53,12734.132232173492,3318,2901,87.43218806509945
184,Lassen Union High,374.0,82.0,56.09756097560975,9631137.89,724.86,13286.893869160942,787,264,33.54510800508259
185,El Segundo Unified,620.0,315.0,76.82539682539682,38774925.31,3340.01,11609.224316693662,3453,522,15.117289313640313
186,Lawndale Elementary,257.0,220.0,30.0,79279792.94,5070.03,15636.947501296836,5814,4809,82.7141382868937
187,Merced Union High,5165.0,1337.0,36.49962602842184,137544105.4,9945.13,13830.297381733573,10523,7952,75.56780385821534
188,Gustine Unified,312.0,88.0,29.545454545454547,21609694.15,1736.58,12443.823002683435,1846,1483,80.33586132177682
189,Corona-Norco Unified,8776.0,3251.0,60.01230390649031,576153307.81,50989.66,11299.414583466529,53002,23747,44.80396966152221
190,San Juan Unified,8601.0,1975.0,62.88607594936709,475626254.48,37400.58,12717.082314766241,50509,26477,52.420360727791085
191,Escalon Unified,410.0,114.0,57.89473684210526,26822743.45,2570.16,10436.215430167773,2992,1429,47.76069518716577
192,Lompoc Unified,1337.0,587.0,31.345826235093696,110323664.39,9023.57,12226.165962030549,10045,6592,65.62468889995023
193,Travis Unified,872.0,307.0,61.88925081433225,58423236.52,5289.46,11045.217568523063,5495,1517,27.606915377616016
194,Sutter Union High,381.0,92.0,67.3913043478261,8138204.03,723.2,11253.047607853981,775,255,32.903225806451616
195,Sonora Union High,516.0,69.0,73.91304347826087,13308893.38,956.74,13910.66891736522,1051,427,40.627973358705994
196,Simi Valley Unified,2861.0,678.0,73.74631268436578,177362376.93,15734.71,11272.046127955331,16451,5591,33.9857759406723
197,Williams Unified,185.0,61.0,16.39344262295082,15600533.12,1227.27,12711.573753126859,1335,1201,89.9625468164794
198,John Swett Unified,266.0,98.0,56.12244897959184,16944620.73,1335.12,12691.458992450118,1439,852,59.20778318276581
199,Hamilton Unified,141.0,49.0,22.448979591836736,7881946.74,687.79,11459.815844952676,714,557,78.01120448179272
200,Calexico Unified,1660.0,362.0,51.38121546961326,117889165.07,8786.56,13416.987429665307,9246,7965,86.14536015574302
201,Kelseyville Unified,263.0,81.0,32.098765432098766,21984210.28,1596.33,13771.720308457527,1705,1365,80.05865102639295
202,Burbank Unified,2674.0,935.0,77.6470588235294,169596961.86,14579.31,11632.715256071791,15203,5526,36.34808919292245
203,Duarte Unified,862.0,253.0,42.687747035573125,45566001.18,3416.81,13335.831134888975,4761,2927,61.47868094938038
204,Glendora Unified,1230.0,532.0,83.0827067669173,79635072.68,6943.15,11469.58839719724,7198,2076,28.841344818005
205,Los Angeles Unified,84155.0,53343.0,25.81969518024858,7213548356.51,453121.47000000003,15919.6790134663,607723,481843,79.28661577725377
206,Alhambra Unified,3611.0,1642.0,68.94031668696711,210900295.93,15966.72,13208.742680400233,16531,10300,62.30718044885367
207,Golden Valley Unified,329.0,79.0,55.69620253164557,21014692.99,1917.59,10958.908311995787,2007,862,42.94967613353264
208,Fort Bragg Unified,262.0,70.0,58.57142857142857,23447250.64,1678.03,13973.081911527208,1883,1362,72.33138608603292
209,Soledad Unified,783.0,222.0,19.36936936936937,60495166.91,4622.05,13088.384355426704,4905,4387,89.43934760448522
210,Huntington Beach Union High,8086.0,2847.0,76.22058306989814,191539816.73,15164.13,12631.111493372848,15967,5974,37.414667752239
211,Loomis Union Elementary,132.0,38.0,63.1578947368421,23524758.93,2410.17,9760.622250712606,4371,960,21.962937542896363
212,Banning Unified,667.0,137.0,36.496350364963504,57967453.27,4244.92,13655.723375234398,4617,3969,85.96491228070175
213,Desert Sands Unified,4773.0,2752.0,27.79796511627907,328383803.36,24772.64,13255.906651854628,28610,18911,66.09926599091227
214,Fontana Unified,5766.0,3525.0,22.69503546099291,490696592.89,34877.72,14069.05591563898,36335,30689,84.46126324480528
215,San Lorenzo Valley Unified,584.0,141.0,68.08510638297872,27394860.62,2191.04,12503.131216226086,5251,1139,21.691106455913157
216,Gateway Unified,335.0,44.0,59.09090909090909,29777201.83,2116.85,14066.750988497059,2460,1788,72.6829268292683
217,Benicia Unified,847.0,274.0,78.10218978102189,47907683.29,4454.46,10754.992364955573,4662,1113,23.873873873873876
218,Fairfield-Suisun Unified,3068.0,717.0,59.41422594142259,219811559.4,20390.67,10780.006708950712,21405,12671,59.19644942770381
219,Farmersville Unified,394.0,122.0,9.836065573770492,33044278.39,2410.62,13707.792348026649,2559,2383,93.1223134036733
220,Ojai Unified,403.0,99.0,70.70707070707071,26036825.12,2269.98,11470.068071084326,2453,1232,50.224215246636774
221,Moorpark Unified,1040.0,268.0,77.98507462686567,62563919.66,5896.79,10609.826644665996,6255,2232,35.68345323741007
222,Newark Unified,930.0,262.0,57.25190839694657,66780274.76,5552.86,12026.284610092818,5758,2803,48.68009725599166
223,Pleasanton Unified,2502.0,1212.0,90.01650165016501,165366882.26,14502.94,11402.300654901695,14978,1331,8.886366671117639
224,Middletown Unified,318.0,70.0,52.857142857142854,15726039.78,1399.11,11240.031005424878,1747,906,51.86033199771036
225,Azusa Unified,1328.0,798.0,25.31328320802005,110109228.03,7744.16,14218.35654609409,8010,6572,82.0474406991261
226,Charter Oak Unified,790.0,273.0,58.97435897435897,55746076.09,4457.01,12507.505275958547,4581,2543,55.511896965728
227,Glendale Unified,3966.0,1348.0,80.04451038575668,305954698.14,24874.43,12299.968205904617,25789,13309,51.60727441932607
228,Redondo Beach Unified,1526.0,533.0,86.11632270168856,103289495.22,9632.86,10722.619784778351,10041,1635,16.283238721242903
229,Placentia-Yorba Linda Unified,4273.0,1544.0,79.46891191709845,265699576.55,24262.65,10950.971000694482,25477,9496,37.27283432115241
230,Saddleback Valley Unified,4688.0,1539.0,76.08836907082521,296122935.12,25523.67,11601.894834089298,26747,7972,29.805211799454145
231,Palo Verde Unified,474.0,94.0,32.97872340425532,35111393.77,2761.97,12712.445743436752,3018,2279,75.51358515573227
235,Valley Center-Pauma Unified,596.0,175.0,48.57142857142857,45871848.3,3774.72,12152.384362283825,4029,2041,50.65773144700918
236,Bonsall Unified,143.0,65.0,52.30769230769231,25237742.54,2616.76,9644.6531359391,2518,848,33.677521842732325
237,Lincoln Unified,1529.0,375.0,64.26666666666667,99275018.86,8449.34,11749.440649802233,9348,5719,61.17886178861789
238,Lammersville Joint Unified,616.0,290.0,68.27586206896552,52688591.97,5198.23,10135.87162745781,5348,905,16.922213911742706
239,Jefferson Union High,2380.0,1253.0,51.95530726256983,54450201.31,4068.71,13382.669521789461,4786,1403,29.314667781027996
240,Hughson Unified,354.0,112.0,55.357142857142854,21977692.9,1965.96,11179.114987080102,2058,1136,55.19922254616132
241,Yuba City Unified,1959.0,405.0,59.75308641975309,152239409.58,11722.5,12986.940463211773,13111,9728,74.1972389596522
242,Woodland Joint Unified,1524.0,372.0,43.01075268817204,112276752.21,9221.81,12175.131802758895,10031,6040,60.21333865018443
243,West Contra Costa Unified,4884.0,2450.0,29.142857142857142,356728761.91,26406.71,13509.019560179971,31760,22272,70.12594458438286
244,Clovis Unified,6571.0,2513.0,65.65857540787903,445849473.76,41008.48,10872.128734349577,43264,19008,43.934911242603555
245,Firebaugh-Las Deltas Unified,329.0,137.0,10.94890510948905,30060423.62,2155.56,13945.52859581733,2240,2032,90.71428571428571
246,Hanford Joint Union High,1861.0,363.0,44.62809917355372,46471416.45,3603.6,12895.830960705962,3900,2493,63.92307692307693
247,Covina-Valley Unified,2085.0,1954.0,26.151484135107474,147089434.81,11258.91,13064.269526090891,11713,8057,68.78681806539743
248,Wiseburn Unified,782.0,393.0,41.221374045801525,28145161.09,2446.43,11504.584676446904,4503,1705,37.86364645791694
249,Mariposa County Unified,283.0,75.0,80.0,21381753.97,1597.57,13383.923064404064,1838,1203,65.45157780195865
250,Le Grand Union High,249.0,111.0,21.62162162162162,7339517.27,470.84,15588.13454676748,511,409,80.03913894324853
251,Dos Palos Oro Loma Joint Unified,355.0,73.0,35.61643835616438,30401652.8,2281.61,13324.649173171576,2427,2076,85.53770086526576
252,Nevada Joint Union High,1397.0,342.0,79.23976608187135,37324644.1,2383.46,15659.85756001779,2775,1071,38.5945945945946
253,Anaheim Union High,10396.0,2803.0,56.68926150552979,364477147.08,28683.0,12707.079004288255,30292,21604,71.31916017430345
254,Plumas Unified,311.0,100.0,58.0,27008743.89,1701.58,15872.744090786211,2187,1107,50.617283950617285
255,Lake Elsinore Unified,3182.0,880.0,47.04545454545455,246377365.6,20092.33,12262.259558747042,21820,14384,65.9211732355637
256,San Benito High,1564.0,376.0,53.191489361702125,36403245.68,2908.26,12517.190925157996,3108,1837,59.105534105534105
257,Helendale Elementary,501.0,55.0,49.09090909090909,7092792.65,601.57,11790.469355187259,5062,2221,43.87593836428289
258,San Bernardino City Unified,7122.0,3385.0,19.70457902511078,711904641.44,45957.02,15490.66152331026,52773,46624,88.3482083641256
259,San Diego Unified,18030.0,7209.0,53.05867665418227,1356169715.64,97649.78,13888.098013533672,124125,72560,58.457200402819744
260,San Dieguito Union High,4517.0,1895.0,88.54881266490766,146644610.66,12557.03,11678.287832393487,13128,1417,10.79372333942718
261,San Luis Coastal Unified,1162.0,436.0,82.33944954128441,96158404.77,7235.1,13290.542600655139,7813,2703,34.596185844105975
262,Cabrillo Unified,518.0,147.0,67.34693877551021,38226512.39,3012.99,12687.235068818683,3152,1193,37.848984771573605
263,Gilroy Unified,1894.0,632.0,57.75316455696203,128503511.99,10481.27,12260.299752797131,11652,6399,54.917610710607626
264,Dixon Unified,608.0,175.0,66.28571428571429,36506721.41,3031.35,12043.057189041185,3626,1963,54.13678985107556
265,Newman-Crows Landing Unified,464.0,270.0,25.555555555555557,39499642.97,3077.37,12835.519606027225,3225,2054,63.689922480620154
266,Cutler-Orosi Joint Unified,595.0,235.0,14.46808510638298,51526210.03,3940.12,13077.319987716111,4151,3916,94.33871356299687
267,Tulare Joint Union High,2688.0,715.0,41.3986013986014,73170089.68,5379.58,13601.450239609785,5621,3864,68.74221668742216
268,Winters Joint Unified,243.0,56.0,53.57142857142857,18640169.58,1471.93,12663.76089895579,1541,1012,65.67164179104478
269,Willows Unified,249.0,57.0,35.08771929824562,13541257.01,1380.38,9809.803829380315,1465,990,67.57679180887372
270,Imperial Unified,589.0,138.0,54.34782608695652,46140787.99,4117.91,11204.904427245861,4270,2124,49.742388758782205
271,Konocti Unified,467.0,79.0,26.582278481012658,43234686.37,3226.14,13401.367073344616,3575,3010,84.19580419580419
272,Centinela Valley Union High,3585.0,1228.0,21.091205211726383,95859688.8,5935.08,16151.372652095675,7473,5440,72.79539676167536
273,Long Beach Unified,11515.0,8403.0,32.42889444246103,907662690.03,69003.32,13153.898827331785,73221,50000,68.28642056240696
274,San Gabriel Unified,1245.0,475.0,70.3157894736842,62011475.72,4816.76,12874.105357128026,5679,3317,58.40817045254446
275,San Jacinto Unified,1681.0,834.0,17.86570743405276,123520040.12,9605.69,12859.049180225471,11568,8857,76.56466113416322
276,River Delta Joint Unified,339.0,178.0,28.089887640449437,23790801.14,1849.39,12864.13419559963,2354,1274,54.12064570943076
277,Chino Valley Unified,4729.0,3737.0,43.59111586834359,283900834.93,26516.36,10706.629225504557,28063,12989,46.28514413997078
278,Upland Unified,1751.0,597.0,58.29145728643216,119512502.99,10195.74,11721.807636326545,10702,6034,56.381984675761544
279,Shasta Union High,2579.0,537.0,79.51582867783985,57100002.29,4097.72,13934.57881211991,5649,2085,36.909187466808284
280,Vallejo City Unified,1976.0,485.0,32.16494845360825,150107174.79,10878.6,13798.390858198663,14287,9715,67.99888010079093
281,Ventura Unified,2553.0,773.0,68.30530401034929,180163180.21,15664.32,11501.500238120774,16353,9021,55.1641900568703
282,Conejo Valley Unified,3482.0,1356.0,82.22713864306785,190389889.59,17728.65,10739.108143598074,18408,4555,24.744676227727076
283,Santa Paula Unified,813.0,211.0,46.44549763033175,67356343.91,5020.07,13417.41129306962,5270,4580,86.90702087286527
284,Wheatland Union High,381.0,115.0,53.91304347826087,9310830.77,748.75,12435.166303839733,784,345,44.005102040816325
285,Selma Unified,1000.0,266.0,36.8421052631579,83968563.15,6099.85,13765.676721558728,6393,5333,83.41936493039262
286,Sierra Sands Unified,729.0,184.0,77.17391304347827,57305929.19,4849.05,11817.970363267032,5118,3335,65.1621727237202
287,Bassett Unified,531.0,148.0,33.78378378378378,43150223.41,3318.11,13004.458384441745,3520,3267,92.8125
288,Manhattan Beach Unified,1302.0,497.0,92.95774647887323,87391823.6,6310.7,13848.198076283137,6583,309,4.693908552331764
289,Chowchilla Union High,546.0,151.0,29.801324503311257,13012609.29,1035.13,12570.990397341395,1113,792,71.15902964959568
290,Natomas Unified,2374.0,1524.0,34.71128608923885,122032772.6,9753.65,12511.498013564153,15290,8589,56.17396991497711
291,Atascadero Unified,731.0,127.0,68.50393700787401,49932928.57,4503.37,11087.90274172453,4738,1818,38.37062051498523
292,Templeton Unified,416.0,123.0,73.98373983739837,25289893.54,2311.36,10941.564074830401,2394,471,19.674185463659146
293,Santa Maria Joint Union High,3857.0,805.0,47.08074534161491,100586863.54,7651.84,13145.447832155403,8166,6006,73.54886113152094
294,Santa Barbara Unified,3229.0,1182.0,74.61928934010152,166324897.83,12603.35,13196.880022375004,14801,7474,50.49658806837376
295,Cloverdale Unified,181.0,44.0,34.09090909090909,17819173.92,1308.54,13617.599706543171,1375,814,59.199999999999996
296,Sonoma Valley Unified,654.0,214.0,54.67289719626168,51923529.47,3624.02,14327.605661668533,4329,2642,61.03026103026104
297,Chico Unified,2297.0,592.0,76.18243243243244,145844464.85,11783.23,12377.290848943796,14365,6691,46.57848938391925
298,Calaveras Unified,440.0,108.0,62.03703703703704,31919226.42,2644.37,12070.635508646674,2814,1571,55.828002842928214
299,Antioch Unified,2824.0,475.0,43.578947368421055,205569457.13,15156.59,13563.041365505038,17183,11874,69.10318337892103
300,Kingsburg Joint Union High,558.0,190.0,63.1578947368421,13772119.34,1099.16,12529.676607591251,1167,706,60.49700085689803
301,Orland Joint Unified,383.0,66.0,46.96969696969697,25846507.24,2133.82,12112.78703920668,2263,1714,75.74016791869201
302,Brawley Union High,918.0,294.0,34.35374149659864,25381776.4,1843.55,13767.88066502129,1943,1479,76.11940298507463
303,Reef-Sunset Unified,292.0,122.0,19.672131147540984,33543580.55,2550.86,13149.91044196859,2677,2451,91.55771385879716
304,ABC Unified,3300.0,1303.0,68.68764389869531,230685270.33,19754.36,11677.688891464973,20465,10224,49.95846567310041
305,Culver City Unified,1083.0,467.0,62.312633832976445,79743589.95,6864.99,11615.980496694097,7144,2224,31.13101903695409
306,Palmdale Elementary,1028.0,149.0,37.58389261744966,235809822.85,18084.47,13039.354918888968,22465,19161,85.29267749833073
307,Santa Monica-Malibu Unified,1729.0,703.0,75.9601706970128,157457042.97,10070.34,15635.722624062346,10625,2596,24.43294117647059
308,Mammoth Unified,192.0,43.0,65.11627906976744,14107207.29,1146.87,12300.615841376966,1209,643,53.18444995864351
309,South Monterey County Joint Union High,1154.0,287.0,20.557491289198605,30055679.87,2200.76,13656.954811065267,2421,1955,80.75175547294506
310,Napa Valley Unified,3004.0,1190.0,46.38655462184874,192879519.21,15697.36,12287.38585405444,17849,8486,47.543279735559416
311,Capistrano Unified,9421.0,2902.0,79.1867677463818,473897665.4,45170.979999999996,10491.197343958445,53269,13840,25.98133999136458
312,Beaumont Unified,1473.0,1140.0,27.894736842105264,113392474.64,9960.32,11384.420845916597,10762,6152,57.1640958929567
313,Mountain Empire Unified,639.0,83.0,37.34939759036145,23130086.01,1613.82,14332.506729375025,3288,1777,54.045012165450125
314,Sweetwater Union High,14714.0,4649.0,55.06560550656055,468898039.49,36824.64,12733.268797468218,40364,23485,58.18303438707759
315,Fremont Union High,5441.0,2495.0,91.78356713426854,165529877.91,10591.23,15628.956968170836,11022,1424,12.919615314824895
316,Porterville Unified,3338.0,750.0,37.46666666666667,157617978.35,12599.96,12509.40307350182,14205,11020,77.5783174938402
317,Fillmore Unified,574.0,340.0,30.294117647058822,46360060.99,3602.9,12867.42929029393,3785,2870,75.82562747688243
318,Amador County Unified,614.0,101.0,73.26732673267327,36092488.9,3775.31,9560.13914089174,3962,1653,41.7213528520949
319,Coalinga-Huron Unified,582.0,123.0,30.89430894308943,54650684.31,4015.7,13609.254752596062,4466,3996,89.47604120017914
320,Claremont Unified,1206.0,577.0,75.5632582322357,76595379.22,6658.99,11502.552071710576,6945,2457,35.377969762419006
321,Downey Unified,4119.0,2444.0,34.49263502454992,271186754.25,21135.17,12831.065671579649,22064,15140,68.61856417693981
322,La Canada Unified,687.0,348.0,94.82758620689656,46643418.7,4036.94,11554.152080536249,4135,187,4.522370012091899
323,South Pasadena Unified,701.0,363.0,90.9090909090909,49919287.16,4627.27,10788.06448726787,4770,840,17.61006289308176
324,Temple City Unified,1018.0,499.0,83.76753507014028,59227544.92,5529.05,10712.0653493819,5636,2216,39.318665720369054
325,Torrance Unified,4071.0,1597.0,77.14464621164684,246874250.31,22483.7,10980.14340655675,23394,7163,30.618962127041122
326,Walnut Valley Unified,2746.0,1574.0,84.56162642947903,142291876.74,13575.79,10481.29624427013,13879,3124,22.50882628431443
327,Acton-Agua Dulce Unified,3156.0,232.0,35.775862068965516,14654006.7,1027.63,14260.002822027382,15819,8069,51.00828118085846
328,Yosemite Unified,414.0,113.0,61.94690265486726,18536563.22,1451.42,12771.329608245716,2060,993,48.20388349514563
329,Menifee Union Elementary,233.0,80.0,60.0,100731791.61,9973.77,10099.670596975868,11949,5030,42.09557285128462
330,Coachella Valley Unified,2585.0,646.0,27.089783281733745,236206586.5,16838.64,14027.65226289059,18013,16793,93.2271137511797
331,Pajaro Valley Unified,2684.0,812.0,43.22660098522167,260323635.18,16968.45,15341.627265896414,20106,15493,77.05660001989456
332,Scotts Valley Unified,408.0,166.0,83.73493975903614,23959088.42,2328.43,10289.804039631856,2421,266,10.987195373812474
333,Riverbank Unified,392.0,118.0,27.11864406779661,35204813.16,2284.66,15409.213257114843,3016,2360,78.24933687002653
334,Davis Joint Unified,1456.0,781.0,88.2202304737516,98731785.69,7674.57,12864.79707527588,8587,1822,21.21812041458018
